busca,titulo,empresa,local,publicado_ha,salario,titulo_tratado,nivel,cidade,estado,remoto,dias_publicado,faixa_dias,regiao,salario_valor,faixa_salarial
especialista em dados,Especialista de Performance - Programas Corporativos,Grupo Boticário,Trabalho remoto,6 dia(s),R$ 3 mil (fornecido pela empresa),especialista de performance - programas corporativos,especialista,,,1.0,6,6 a 15 dias,Desconhecido,3000.0,1k a 5k
especialista em dados,Especialista em Estratégia - Foco em Governança e Produto,Caju,Trabalho remoto,25 dia(s),R$ 2 mil (fornecido pela empresa),especialista em estrategia - foco em governanca e produto,especialista,,,1.0,25,16 a 30 dias,Desconhecido,2000.0,1k a 5k
especialista em dados,Estagiário(a) de Dados,Credits Brasil Gestão e Inteligência de Dados,"São Paulo, São Paulo",mais de 30 dias,R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagiario(a) de dados,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,3000.0,1k a 5k
especialista em dados,Especialista de Marketing,MK Solutions,Trabalho remoto,12 dia(s),R$ 8 mil (fornecido pela empresa),especialista de marketing,especialista,,,1.0,12,6 a 15 dias,Desconhecido,8000.0,5k a 10k
especialista em dados,Especialista em Análise de Dados e Excelência Operacional,EATOPIA,"São Paulo, São Paulo",mais de 30 dias,R$ 19 mil (fornecido pela empresa),especialista em analise de dados e excelencia operacional,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,19000.0,Acima de 15k
especialista em dados,Especialista em Engenharia de Dados I,Serasa Experian,"São Paulo, São Paulo",mais de 30 dias,R$ 5 mil (fornecido pela empresa),especialista em engenharia de dados i,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,5000.0,1k a 5k
especialista em dados,Advogado(a) Especialista,Oi,Trabalho remoto,5 dia(s),R$ 5 mil - R$ 6 mil (fornecido pela empresa),advogado(a) especialista,especialista,,,1.0,5,1 a 5 dias,Desconhecido,5500.0,5k a 10k
especialista em dados,Especialista HR Business Partner,Neon Pagamentos,Trabalho remoto,9 dia(s),R$ 7 mil (fornecido pela empresa),especialista hr business partner,especialista,,,1.0,9,6 a 15 dias,Desconhecido,7000.0,5k a 10k
especialista em dados,Especialista em QA | Remoto,CAPCO,"São Paulo, São Paulo",mais de 30 dias,R$ 2 mil (fornecido pela empresa),especialista em qa | remoto,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,2000.0,1k a 5k
especialista em dados,Especialista em Farmacovigilância - Vaga afirmativa também para o público PCD,MANPOWER STAFFING. (Matriz),"São Paulo, São Paulo",24h,R$ 13 mil (fornecido pela empresa),especialista em farmacovigilancia - vaga afirmativa tambem para o publico pcd,especialista,São Paulo,SP,0.0,1,1 a 5 dias,Sudeste,13000.0,10k a 15k
especialista em dados,Técnico em Meio Ambiente,Bureau Veritas Brasil,"Santa Isabel, Goiás",11 dia(s),R$ 5 mil (fornecido pela empresa),tecnico em meio ambiente,não informado,Santa Isabel,GO,0.0,11,6 a 15 dias,Centro-Oeste,5000.0,1k a 5k
especialista em dados,9351464 - ENGENHEIRO DE DADOS JÚNIOR,Quality Digital,Trabalho remoto,12 dia(s),R$ 2 mil (fornecido pela empresa),9351464 - engenheiro de dados junior,junior,,,1.0,12,6 a 15 dias,Desconhecido,2000.0,1k a 5k
especialista em dados,Especialista em Inteligência de Mercado,Conta Azul,Trabalho remoto,3 dia(s),R$ 4 mil (fornecido pela empresa),especialista em inteligencia de mercado,especialista,,,1.0,3,1 a 5 dias,Desconhecido,4000.0,1k a 5k
especialista em dados,PESSOA ESPECIALISTA DE PROJETOS DE TI,Unimed Nacional,Trabalho remoto,25 dia(s),R$ 3 mil - R$ 5 mil (fornecido pela empresa),pessoa especialista de projetos de ti,especialista,,,1.0,25,16 a 30 dias,Desconhecido,4000.0,1k a 5k
especialista em dados,Analista de Dados Especialista,iFood,Osasco,mais de 30 dias,R$ 7 mil - R$ 9 mil (fornecido pela empresa),analista de dados especialista,especialista,Osasco,SP,0.0,31,mais de 30 dias,Sudeste,8000.0,5k a 10k
especialista em dados,Especialista de Dados - Cientista de Dados e Machine Learning,ONS,Trabalho remoto,mais de 30 dias,R$ 12 mil (fornecido pela empresa),especialista de dados - cientista de dados e machine learning,especialista,,,1.0,31,mais de 30 dias,Desconhecido,12000.0,10k a 15k
especialista em dados,Analista BI Especialista - Segmento Varejista,DB,Trabalho remoto,7 dia(s),R$ 9 mil (fornecido pela empresa),analista bi especialista - segmento varejista,especialista,,,1.0,7,6 a 15 dias,Desconhecido,9000.0,5k a 10k
especialista em dados,Especialista de Planejamento Financeiro (FP&A),Seazone,Trabalho remoto,17 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),especialista de planejamento financeiro (fp&a),pleno,,,1.0,17,16 a 30 dias,Desconhecido,3000.0,1k a 5k
especialista em dados,ESPECIALISTA DE CRIAÇÃO,KaBuM!,"Limeira, São Paulo",24 dia(s),R$ 2 mil (fornecido pela empresa),especialista de criacao,especialista,Limeira,SP,0.0,24,16 a 30 dias,Sudeste,2000.0,1k a 5k
especialista em dados,Especialista Protheus – DevOps com foco em Qualidade e boas práticas,GLOBALSYS,Trabalho remoto,14 dia(s),R$ 2 mil (fornecido pela empresa),especialista protheus  devops com foco em qualidade e boas praticas,especialista,,,1.0,14,6 a 15 dias,Desconhecido,2000.0,1k a 5k
especialista em dados,Especialista Banco Dados I,Umicore,Americana,14 dia(s),R$ 2 mil (fornecido pela empresa),especialista banco dados i,especialista,Americana,SP,0.0,14,6 a 15 dias,Sudeste,2000.0,1k a 5k
especialista em dados,Pessoa Especialista - Engenheiro de dados II,Lojas Renner,Trabalho remoto,24 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),pessoa especialista - engenheiro de dados ii,especialista,,,1.0,24,16 a 30 dias,Desconhecido,3000.0,1k a 5k
especialista em dados,Especialista em Negócios,iFood,Osasco,19 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa),especialista em negocios,especialista,Osasco,SP,0.0,19,16 a 30 dias,Sudeste,4500.0,1k a 5k
especialista em dados,Especialista de Mídia em Comunicação,LEROY MERLIN BR,"São Paulo, São Paulo",mais de 30 dias,R$ 3 mil (fornecido pela empresa),especialista de midia em comunicacao,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,3000.0,1k a 5k
especialista em dados,ESPECIALISTA CONT ESTOQUE ARMAZENAGEM,Louis Dreyfus Company,"Pederneiras, São Paulo",3 dia(s),R$ 2 mil (fornecido pela empresa),especialista cont estoque armazenagem,especialista,Pederneiras,SP,0.0,3,1 a 5 dias,Sudeste,2000.0,1k a 5k
especialista em dados,Especialista em CRM,Reallizi,Três Rios,mais de 30 dias,R$ 2 mil (fornecido pela empresa),especialista em crm,especialista,Três Rios,RJ,0.0,31,mais de 30 dias,Sudeste,2000.0,1k a 5k
especialista em dados,Especialista em Agronegócios,PepsiCo,"Sete Lagoas, Minas Gerais",25 dia(s),R$ 3 mil (fornecido pela empresa),especialista em agronegocios,especialista,Sete Lagoas,MG,0.0,25,16 a 30 dias,Sudeste,3000.0,1k a 5k
especialista em dados,Sports Operations Specialist/ Especialista em Operacoes Esportivas,LESTARS MANAGEMENT CONSULTANCY,"São Paulo, São Paulo",mais de 30 dias,R$ 3 mil (fornecido pela empresa),sports operations specialist/ especialista em operacoes esportivas,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,3000.0,1k a 5k
especialista em dados,Cientista de Dados Especialista em Crédito,VIACERTA Banking,Trabalho remoto,mais de 30 dias,R$ 3 mil (fornecido pela empresa),cientista de dados especialista em credito,especialista,,,1.0,31,mais de 30 dias,Desconhecido,3000.0,1k a 5k
especialista em dados,Especialista de Prevenção a Fraude (Projetos),iFood,Osasco,14 dia(s),R$ 2 mil (fornecido pela empresa),especialista de prevencao a fraude (projetos),especialista,Osasco,SP,0.0,14,6 a 15 dias,Sudeste,2000.0,1k a 5k
especialista em dados,CRM Specialist - (Especialista em CRM),RECSEL,Joinville,12 dia(s),R$ 3 mil (fornecido pela empresa),crm specialist - (especialista em crm),especialista,Joinville,SC,0.0,12,6 a 15 dias,Sul,3000.0,1k a 5k
especialista em dados,Especialista em Business Intelligence,Netvagas,Trabalho remoto,3 dia(s),R$ 4 mil - R$ 10 mil (fornecido pela empresa),especialista em business intelligence,especialista,,,1.0,3,1 a 5 dias,Desconhecido,7000.0,5k a 10k
especialista em dados,Especialista de Dados | Rio de Janeiro,Pulse Client Experts,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,R$ 3 mil (fornecido pela empresa),especialista de dados | rio de janeiro,especialista,Rio de Janeiro,RJ,0.0,31,mais de 30 dias,Sudeste,3000.0,1k a 5k
especialista em dados,Especialista em Desenvolvimento Tecnológico Jr. (386071),Centro Nacional de Pesquisa em Energia e Materiais (CNPEM),"Campinas, São Paulo",3 dia(s),R$ 5 mil (fornecido pela empresa),especialista em desenvolvimento tecnologico jr. (386071),junior,Campinas,SP,0.0,3,1 a 5 dias,Sudeste,5000.0,1k a 5k
especialista em dados,Pessoa Analista de Dados Pleno,Akross,Trabalho remoto,5 dia(s),R$ 2 mil - R$ 6 mil (fornecido pela empresa),pessoa analista de dados pleno,pleno,,,1.0,5,1 a 5 dias,Desconhecido,4000.0,1k a 5k
especialista em dados,ESPECIALISTA EM CRM (VA),Jobbol,"Tijucas, Santa Catarina",24h,R$ 7 mil - R$ 20 mil (fornecido pela empresa),especialista em crm (va),especialista,Tijucas,SC,0.0,1,1 a 5 dias,Sul,13500.0,10k a 15k
especialista em dados,Especialista em Treinamento & Desenvolvimento - Goiânia (GO),GAV Resorts,Goiânia,24h,R$ 2 mil (fornecido pela empresa),especialista em treinamento & desenvolvimento - goiania (go),especialista,Goiânia,GO,0.0,1,1 a 5 dias,Centro-Oeste,2000.0,1k a 5k
especialista em dados,Pessoa Desenvolvedora Mobile Flutter Especialista II (Consumidor),Grupo Boticário,Trabalho remoto,3 dia(s),R$ 2 mil (fornecido pela empresa),pessoa desenvolvedora mobile flutter especialista ii (consumidor),especialista,,,1.0,3,1 a 5 dias,Desconhecido,2000.0,1k a 5k
especialista em dados,Especialista em Atendimento - SAC (E-Commerce) - Unidade Madureira,Atento Brasil,"Rio de Janeiro, Rio de Janeiro",4 dia(s),R$ 9 mil (fornecido pela empresa),especialista em atendimento - sac (e-commerce) - unidade madureira,especialista,Rio de Janeiro,RJ,0.0,4,1 a 5 dias,Sudeste,9000.0,5k a 10k
especialista em dados,Especialista em Power BI e Análise de Dados,Cimed,"São Paulo, São Paulo",mais de 30 dias,R$ 2 mil (fornecido pela empresa),especialista em power bi e analise de dados,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,2000.0,1k a 5k
especialista em dados,Desenvolvedor(a) DataFlex Pleno - Soluções em Agronegócio,Viasoft,Trabalho remoto,2 dia(s),R$ 11 mil - R$ 12 mil (fornecido pela empresa),desenvolvedor(a) dataflex pleno - solucoes em agronegocio,pleno,,,1.0,2,1 a 5 dias,Desconhecido,11500.0,10k a 15k
especialista em dados,Designer Especialista em UX,Avalon Broker,"São Paulo, São Paulo",mais de 30 dias,R$ 2 mil - R$ 3 mil (fornecido pela empresa),designer especialista em ux,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,2500.0,1k a 5k
especialista em dados,Especialista em atendimento,ODONTOCOMPANY,"Santo André, São Paulo",mais de 30 dias,R$ 11 mil - R$ 16 mil (fornecido pela empresa),especialista em atendimento,especialista,Santo André,SP,0.0,31,mais de 30 dias,Sudeste,13500.0,10k a 15k
especialista em dados,Especialista em atendimento ao cliente,AmorSaúde,"Canoas, Rio Grande do Sul",14 dia(s),R$ 6 mil (fornecido pela empresa),especialista em atendimento ao cliente,especialista,Canoas,RS,0.0,14,6 a 15 dias,Sul,6000.0,5k a 10k
especialista em dados,Especialista Prevenção a Fraudes I,Grupo Boticário,,6 dia(s),R$ 6 mil (fornecido pela empresa),especialista prevencao a fraudes i,especialista,,,0.0,6,6 a 15 dias,Desconhecido,6000.0,5k a 10k
especialista em dados,Especialista em IA Organizacional,Bernhoeft,,9 dia(s),R$ 4 mil (fornecido pela empresa),especialista em ia organizacional,especialista,,,0.0,9,6 a 15 dias,Desconhecido,4000.0,1k a 5k
especialista em dados,Especialista em Relacionamento ao Cliente - Atendimento Space Network,NOW SOLUCOES TECNOLOGICAS LTDA,"São Paulo, São Paulo",24 dia(s),R$ 7 mil (fornecido pela empresa),especialista em relacionamento ao cliente - atendimento space network,especialista,São Paulo,SP,0.0,24,16 a 30 dias,Sudeste,7000.0,5k a 10k
especialista em dados,Arquiteto(a) de Dados / Analytics Engineer | Especialista,Conta Azul,,5 dia(s),R$ 5 mil (fornecido pela empresa),arquiteto(a) de dados / analytics engineer | especialista,especialista,,,0.0,5,1 a 5 dias,Desconhecido,5000.0,1k a 5k
especialista em dados,Especialista em Governança de Dados,Kalendae,"São Paulo, São Paulo",mais de 30 dias,"R$ 54,18 por hora (fornecido pela empresa)",especialista em governanca de dados,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
especialista em dados,Especialista Cloud,Ambev Tech,,12 dia(s),R$ 14 mil - R$ 16 mil (fornecido pela empresa),especialista cloud,especialista,,,0.0,12,6 a 15 dias,Desconhecido,15000.0,10k a 15k
especialista em dados,Especialista Relacionamento Digital I (CHAT VAREJO - Produto Bancário) - Unidade Uruguai,Atento Brasil,"Salvador, Bahia",5 dia(s),R$ 2 mil (fornecido pela empresa),especialista relacionamento digital i (chat varejo - produto bancario) - unidade uruguai,especialista,Salvador,BA,0.0,5,1 a 5 dias,Nordeste,2000.0,1k a 5k
